"ID","Date","Age","Height","HomeTown","Name","Prev","RStreak","Weight"
1968,"2017-02-13",37,187,"Sobralia, Minas Gerais Brazil","Glover Teixeira",6,0,93
435,"2017-02-13",36,182,"Lincolnville, Maine United States","Tim Boetsch",7,2,84
509,"2017-02-13",33,172,"Sparta, New Jersey United States","Jim Miller",8,3,70
2317,"2017-02-13",35,172,"Albuquerque, New Mexico United States","Holly Holm",4,0,65
2778,"2017-02-13",28,180,"Chicago, Illinois United States","Belal Muhammad",3,0,77
515,"2017-02-13",33,175,"Brooklyn, New York United States","Phillipe Nover",2,0,65
2296,"2017-02-13",27,177,"Shizuoka Japan","Ulka Sasaki",4,1,56
2859,"2017-01-31",26,167,"Lawton, Oklahoma  USA","Eric Shelton",0,0,56
1076,"2017-01-31",33,185,"Denver, Colorado United States","Donald Cerrone",12,4,77
2815,"2017-01-31",27,187,"Torrance, California United States","Jason Gonzalez",1,0,70
2264,"2017-01-31",30,187,"Milwaukee, Wisconsin United States","Sam Alvey",8,3,84
2860,"2017-01-31",26,182,"Burlington, Vermont United States","Jeremy Kimball",0,0,93
1755,"2017-01-31",28,177,"Miami, Florida USA","Alex Caceres",7,0,65
2177,"2017-01-31",27,170,"Long Island, New York USA","Aljamain Sterling",5,0,61
2659,"2017-01-31",30,193,"Batie Cameroon","Francis Ngannou",3,3,113
2782,"2017-01-31",30,185,"Stoughton, Massachusetts USA","Eric Spicely",2,1,84
2855,"2017-01-31",26,182,"Mt. Clemens, Michigan USA","Bobby Nash",0,0,77
2768,"2017-01-31",27,190,"Limoeiro, Pernambuco Brazil","Henrique da Silva",3,0,93
2206,"2017-01-31",29,182,"Xinjiang China","Li Jingliang",1,1,77
1039,"2017-01-31",34,165,"Recife Brazil","Raphael Assuncao",2,0,61
367,"2017-01-31",38,193,"Minsk Belarus","Andrei Arlovski",7,0,109
2797,"2017-01-31",27,175,"Oklahoma City, Oklahoma United States","JC Cottrell",1,0,70
372,"2017-01-31",37,182,"Lander, Wyoming USA","Nate Marquardt",6,1,84
2856,"2017-01-31",28,187,"Richmond, Virginia USA","Jordan Johnson",0,0,93
2724,"2017-01-31",24,177,"Jackson, Mississippi United States","Jason Knight",3,2,65
2731,"2017-01-31",29,165,"Bishkek Kyrgyzstan","Valentina Shevchenko",3,1,61
1865,"2017-01-31",31,185,"Ribeirâo Pires, Sao Paulo Brazil","Marcos Rogerio de Lima",2,0,93
1511,"2017-01-31",27,167,"Spokane, Washington USA","Julianna Pena",3,3,61
1272,"2017-01-31",32,180,"Miami, Florida USA","Jorge Masvidal",9,2,77
2858,"2017-01-31",26,165,"Rio de Janeiro Brazil","Alexandre Pantoja",0,0,56
2755,"2017-01-31",27,182,"Rome Italy","Alessio Di Chirico",2,1,84
2343,"2017-02-06",32,162,"Chicago, Illinois USA","Felice Herrig",2,2,52
2861,"2017-02-06",31,185,"Tubarao, Santa Catarina Brazil","Marcel Fortuna",0,0,93
2764,"2017-03-17",26,193,"Chicago, Illinois United States","Curtis Blaydes",2,1,120
1494,"2017-02-20",30,170,"Po-Hang South Korea","Chan Sung Jung",0,0,65
2013,"2017-02-06",33,172,"Greensboro, North Carolina United States","Abel Trujillo",5,3,70
2623,"2017-02-06",32,185,"Fairfield, CA USA","Daniel Jolly",1,0,93
2863,"2017-02-06",27,185,"Fribourg Switzerland","Volkan Oezdemir",0,0,93
2814,"2017-02-06",23,165,"Guadalajara, Jalisco Mexico","Alexa Grasso",1,1,52
1907,"2017-02-20",30,167,"Saugerties, NY United States","Dennis Bermudez",6,2,65
2763,"2017-03-17",29,190,"Calvert County, Maryland United States","Adam Milstead",1,1,104
2737,"2017-02-06",26,180,"Houston, Texas United States","Alex Morono",2,2,77
2340,"2017-02-06",27,154,"Fall River, Massachusetts United States","Tecia Torres",4,0,52
2079,"2017-02-06",25,160,"Umuarama, Parana Brazil","Jessica Andrade",6,2,52
