"Fight_ID","ID","Event_ID","Date","winner","winby","corner","Last_round","Max_round","RStreak","Height","Weight","Age","HomeTown"
6406,2369,802,"2017-01-02","blue","DEC","blue",5,5,4,172,61,25,"Uhrichsville, Ohio USA"
6458,2851,802,"2017-01-02","blue","SUB","blue",1,3,0,182,77,27,"Cape Coral, Florida United States"
6399,455,802,"2017-01-02","red","DEC","red",3,3,1,187,77,35,"Suwon South Korea"
6457,2166,802,"2017-01-02","blue","DEC","red",3,3,0,175,56,25,"Honolulu, HI USA"
6399,942,802,"2017-01-02","red","DEC","blue",3,3,0,177,77,30,"Brussels Belgium"
6457,2217,802,"2017-01-02","blue","DEC","blue",3,3,0,162,56,23,"Tucson, Arizona United States"
6396,1952,802,"2017-01-02","no contest","0","blue",1,3,2,187,77,33,"Wilburton, Oklahoma USA"
6398,2047,802,"2017-01-02","blue","DEC","blue",3,3,0,190,77,29,"Brooklyn, New York USA"
6406,1057,802,"2017-01-02","blue","DEC","red",5,5,3,172,61,32,"San Diego, California USA"
6389,870,802,"2017-01-02","blue","KO/TKO","red",1,3,0,182,77,41,"Dresden, Tennessee USA"
6458,1331,802,"2017-01-02","blue","SUB","red",1,3,0,187,77,31,"Denver, Colorado USA"
6420,1905,802,"2017-01-02","red","DEC","red",3,3,1,167,61,31,"Angels Camp, California USA"
6370,1719,802,"2017-01-02","red","KO/TKO","red",1,5,4,172,61,28,"Salvador, Bahia Brazil"
6405,2246,802,"2017-01-02","red","DEC","red",3,3,1,187,84,27,"João Pessoa, Paraíba Brazil"
6405,2783,802,"2017-01-02","red","DEC","blue",3,3,1,182,84,23,"Trento Italy"
6398,947,802,"2017-01-02","blue","DEC","red",3,3,0,175,84,33,"Ada, Oklahoma United States"
6386,2628,801,"2016-12-18","blue","SUB","red",2,3,1,182,70,21,"Houston, Texas USA"
6387,2297,801,"2016-12-18","blue","DEC","blue",3,3,2,180,77,29,"Clovis, California USA"
6416,2462,801,"2016-12-17","red","DEC","blue",3,3,0,165,56,37,"Bogotá Colombia"
6428,2221,801,"2016-12-19","red","DEC","red",3,3,0,175,61,34,"Santa Ana, CA USA"
6388,2291,801,"2016-12-19","red","DEC","red",3,3,2,182,77,35,"Los Angeles, California United States"
6409,2268,801,"2016-12-17","blue","DEC","red",3,3,0,177,77,28,"Frankfurt Germany"
6419,961,801,"2016-12-19","red","KO/TKO","red",1,3,1,170,61,32,"Houston, TX USA"
6397,1170,801,"2016-12-18","red","DEC","blue",3,3,0,167,61,38,"East London England"
6409,2737,801,"2016-12-17","blue","DEC","blue",3,3,1,180,77,26,"Houston, Texas United States"
6386,2750,801,"2016-12-18","blue","SUB","blue",2,3,2,187,77,25,"Green Brook, New Jersey USA"
6397,959,801,"2016-12-18","red","DEC","red",3,3,0,167,61,37,"Isla Vista , California USA"
6371,2305,801,"2016-12-18","blue","SUB","red",1,5,1,162,52,22,"Newberg, Oregon USA"
