"Event_ID","Fight_ID","ID","corner","Date","Name"
794,6327,1317,"red","2016-11-14","Miesha Tate"
794,6316,545,"blue","2016-11-14","Jeremy Stephens"
794,6316,451,"red","2016-11-14","Frankie Edgar"
794,6319,2785,"blue","2016-11-14","Katlyn Chookagian"
794,6335,2057,"blue","2016-11-14","Conor McGregor"
794,6336,1386,"red","2016-11-14","Tyron Woodley"
794,6325,2678,"blue","2016-11-14","Karolina Kowalkiewicz"
794,6325,2280,"red","2016-11-14","Joanna Jedrzejczyk"
794,6318,1594,"red","2016-11-14","Rafael Natal"
794,6327,2150,"blue","2016-11-14","Raquel Pennington"
794,6326,2778,"blue","2016-11-14","Belal Muhammad"
793,6280,2329,"red","2016-10-11","Leon Edwards"
793,6280,2172,"blue","2016-10-11","Albert Tumenov"
793,6270,1499,"red","2016-10-11","Ovince Saint Preux"
793,6269,295,"red","2016-10-11","Vitor Belfort"
793,6274,2137,"red","2016-10-21","Davey Grant"
793,6311,2656,"red","2016-10-11","Danny Roberts"
793,6283,2213,"red","2016-10-11","Mirsad Bektic"
793,6272,2078,"red","2016-10-11","Leonardo Santos"
793,6271,2083,"blue","2016-10-11","Daniel Omielanczuk"
793,6273,1170,"red","2016-10-11","Brad Pickett"
793,6268,368,"red","2016-10-11","Michael Bisping"
793,6311,2813,"blue","2016-10-11","Mike Perry"
793,6270,2009,"blue","2016-10-11","Jimi Manuwa"
793,6269,786,"blue","2016-10-11","Gegard Mousasi"
793,6301,2822,"blue","2016-10-11","Marc Diakiese"
793,6274,2504,"blue","2016-10-21","Damian Stasiak"
793,6271,649,"red","2016-10-11","Stefan Struve"
793,6301,2292,"red","2016-10-11","Lukasz Sajewski"
793,6283,2164,"blue","2016-10-11","Russell Doane"
793,6272,915,"blue","2016-10-11","Adriano Martins"
793,6273,1706,"blue","2016-10-11","Iuri Alcantara"
793,6268,129,"blue","2016-10-11","Dan Henderson"
792,6248,2158,"blue","2016-11-07","Rashid Magomedov"
792,6247,532,"red","2016-11-07","Rafael Dos Anjos"
792,6372,1054,"red","2016-11-07","Ricardo Lamas"
792,6290,461,"red","2016-11-07","Diego Sanchez"
792,6324,2707,"red","2016-11-07","Polo Reyes"
792,6302,1979,"red","2016-11-07","Erik Perez"
792,6266,2347,"blue","2016-11-07","Heather Jo Clark"
792,6290,2484,"blue","2016-11-07","Marcin Held"
792,6417,2358,"red","2016-11-07","Marco Beltran"
792,6351,2183,"blue","2016-11-07","Douglas Silva de Andrade"
792,6351,2356,"red","2016-11-07","Henry Briones"
792,6364,2740,"blue","2016-11-07","Alex Nicholson"
792,6418,2837,"red","2016-11-07","Martin Bravo"
792,6266,2814,"red","2016-11-07","Alexa Grasso"
792,6352,2795,"blue","2016-11-07","Chris Avila"
792,6418,2836,"blue","2016-11-07","Claudio Puelles"
792,6348,2805,"blue","2016-11-07","Max Griffin"
792,6372,1531,"blue","2016-11-07","Charles Oliveira"
